scientific_name,ott_name,closest_relative
Lampris incognitus,Lampris incognitus,Amphiprion ocellaris
Rhinichthys osculus,Rhinichthys osculus,Cyprinus carpio
Rhineura floridana,Rhineura floridana,Thamnophis sirtalis
Gavialis gangeticus,Gavialis gangeticus,Saxicola maurus
Poecile atricapillus,Poecile atricapillus,Cyanistes caeruleus
Tadarida brasiliensis,Tadarida brasiliensis,Rousettus aegyptiacus
Salminus brasiliensis,Salminus brasiliensis,Cyprinus carpio
Cyclura pinguis,Cyclura pinguis,Pogona vitticeps
Strix occidentalis,Strix occidentalis,Bubo scandiacus
Aquila chrysaetos,Aquila chrysaetos,Gyps fulvus
Masticophis lateralis,Masticophis lateralis,Thamnophis sirtalis
Pelecanus crispus,Pelecanus crispus,Pelecanus crispus
Passerculus sandwichensis,Passerculus sandwichensis,Taeniopygia guttata
Ochotona princeps,Ochotona princeps,Mus musculus
Stegostoma tigrinum,Stegostoma tigrinum,Mus musculus
Gambelia wislizenii,Gambelia wislizenii,Pogona vitticeps
Melospiza melodia melodia,Melospiza melodia melodia,Taeniopygia guttata
Hipposideros larvatus,Hipposideros larvatus,Rousettus aegyptiacus
Oreortyx pictus,Oreortyx pictus,Gallus gallus domesticus
Sebastes paucispinis,Sebastes paucispinis,Pungitius pungitius
Moxostoma hubbsi,Moxostoma hubbsi,Cyprinus carpio
Sistrurus catenatus,Sistrurus catenatus,Thamnophis sirtalis
Leuresthes tenuis,Leuresthes tenuis,Poecilia reticulata
Leptoclinus maculatus,Leptoclinus maculatus,Pungitius pungitius
Lycaon pictus,Lycaon pictus,Canis lupus familiaris
Eumetopias jubatus,Eumetopias jubatus,Arctocephalus gazella
Coluber constrictor foxii,Coluber constrictor,Thamnophis sirtalis
Glyptemys insculpta,Glyptemys insculpta,Saxicola maurus
Emydoidea blandingii,Emydoidea blandingii,Saxicola maurus
Sternotherus odoratus,Sternotherus odoratus,Saxicola maurus
Malacoraja senta,Malacoraja senta,Mus musculus
Pantherophis vulpinus,Pantherophis vulpinus,Thamnophis sirtalis
Alligator mississippiensis,Alligator mississippiensis,Saxicola maurus
Macrochelys suwanniensis,Macrochelys suwanniensis,Saxicola maurus
Opisthocomus hoazin,Opisthocomus hoazin,Saxicola maurus
Leptodactylus fuscus,Leptodactylus fuscus,Mus musculus
Strix aluco,Strix aluco,Bubo scandiacus
Morus bassanus,Morus bassanus,Pelecanus crispus
Gavia stellata,Gavia stellata,Pelecanus crispus
